attribute_id,attribute_name,attribute_question,group_id,active,attribute_tooltip
0306,"{""fi"":""Pesulatila"",""sv"":""[Svenska]Pesulatila"",""en"":""[English]Pesulatila""}","{""fi"":""Onko rakennuksessa pesulatila?"",""sv"":""[Svenska]Onko rakennuksessa pesulatila?"",""en"":""[English]Onko rakennuksessa pesulatila?""}",,True,"{""fi"":""Pesulatiloja ovat mm. asuinrakennusten talopesutilat ja palvelurakennusten laitosmaiset vaatehuoltotilat. Ei koske itse pesularakennuksia."",""sv"":""[Svenska]Pesulatiloja ovat mm. asuinrakennusten talopesutilat ja palvelurakennusten laitosmaiset vaatehuoltotilat. Ei koske itse pesularakennuksia."",""en"":""[English]Pesulatiloja ovat mm. asuinrakennusten talopesutilat ja palvelurakennusten laitosmaiset vaatehuoltotilat. Ei koske itse pesularakennuksia.""}"
0307,"{""fi"":""Kerhohuone"",""sv"":""[Svenska]Kerhohuone"",""en"":""[English]Kerhohuone""}","{""fi"":""Onko rakennuksessa kerhohuone?"",""sv"":""[Svenska]Onko rakennuksessa kerhohuone?"",""en"":""[English]Onko rakennuksessa kerhohuone?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0308,"{""fi"":""Oleskelutila"",""sv"":""[Svenska]Oleskelutila"",""en"":""[English]Oleskelutila""}","{""fi"":""Onko rakennuksessa oleskelutila?"",""sv"":""[Svenska]Onko rakennuksessa oleskelutila?"",""en"":""[English]Onko rakennuksessa oleskelutila?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0309,"{""fi"":""Aula"",""sv"":""[Svenska]Aula"",""en"":""[English]Aula""}","{""fi"":""Onko rakennuksessa aula?"",""sv"":""[Svenska]Onko rakennuksessa aula?"",""en"":""[English]Onko rakennuksessa aula?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0400,"{""fi"":""Kiinteistö"",""sv"":""[Svenska]Kiinteistö"",""en"":""[English]Kiinteistö""}","{""fi"":""Onko rakennuksessa kiinteistön hoitoon tai väestönsuojeluun liittyviä tiloja?"",""sv"":""[Svenska]Onko rakennuksessa kiinteistön hoitoon tai väestönsuojeluun liittyviä tiloja?"",""en"":""[English]Onko rakennuksessa kiinteistön hoitoon tai väestönsuojeluun liittyviä tiloja?""}",,False,"{""fi"":"""",""sv"":"""",""en"":""""}"
0401,"{""fi"":""Jätehuone"",""sv"":""[Svenska]Jätehuone"",""en"":""[English]Jätehuone""}","{""fi"":""Onko rakennuksessa jätehuone?"",""sv"":""[Svenska]Onko rakennuksessa jätehuone?"",""en"":""[English]Onko rakennuksessa jätehuone?""}",,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0402,"{""fi"":""Siivoustila"",""sv"":""[Svenska]Siivoustila"",""en"":""[English]Siivoustila""}","{""fi"":""Onko rakennuksessa siivoustila?"",""sv"":""[Svenska]Onko rakennuksessa siivoustila?"",""en"":""[English]Onko rakennuksessa siivoustila?""}",6,True,"{""fi"":""Siivoustilat ovat huonemaisia yleensä rakennuksen tai sen osan puhtaanapitoa palvelevia huoneita."",""sv"":""[Svenska]Siivoustilat ovat huonemaisia yleensä rakennuksen tai sen osan puhtaanapitoa palvelevia huoneita."",""en"":""[English]Siivoustilat ovat huonemaisia yleensä rakennuksen tai sen osan puhtaanapitoa palvelevia huoneita.""}"
0403,"{""fi"":""Varasto"",""sv"":""[Svenska]Varasto"",""en"":""[English]Varasto""}","{""fi"":""Onko rakennuksessa varasto?"",""sv"":""[Svenska]Onko rakennuksessa varasto?"",""en"":""[English]Onko rakennuksessa varasto?""}",7,True,"{""fi"":"""",""sv"":"""",""en"":""""}"
0404,"{""fi"":""VSS"",""sv"":""[Svenska]VSS"",""en"":""[English]VSS""}","{""fi"":""Onko rakennuksessa väestönsuoja?"",""sv"":""[Svenska]Onko rakennuksessa väestönsuoja?"",""en"":""[English]Onko rakennuksessa väestönsuoja?""}",,True,"{""fi"":""Väestönsuojilla on usein toinen normaaliajan käyttötarkoitus, jolloin väestönsuojat voivat olla esim. puku- ja pesutiloja, kerhotiloja, varastohuoneita ja irtaimistovarastoja."",""sv"":""[Svenska]Väestönsuojilla on usein toinen normaaliajan käyttötarkoitus, jolloin väestönsuojat voivat olla esim. puku- ja pesutiloja, kerhotiloja, varastohuoneita ja irtaimistovarastoja."",""en"":""[English]Väestönsuojilla on usein toinen normaaliajan käyttötarkoitus, jolloin väestönsuojat voivat olla esim. puku- ja pesutiloja, kerhotiloja, varastohuoneita ja irtaimistovarastoja.""}"
0405,"{""fi"":""Siivouskeskus"",""sv"":""[Svenska]Siivouskeskus"",""en"":""[English]Siivouskeskus""}","{""fi"":""Onko rakennuksessa siivouskeskus?"",""sv"":""[Svenska]Onko rakennuksessa siivouskeskus?"",""en"":""[English]Onko rakennuksessa siivouskeskus?""}",6,True,"{""fi"":""Siivouskeskukset ovat suurien rakennusten puhtaanapitoa palvelevia huolto- ja varastotiloja. Siivouskeskukset ovat yleensä siivoustiloja suurempia."",""sv"":""[Svenska]Siivouskeskukset ovat suurien rakennusten puhtaanapitoa palvelevia huolto- ja varastotiloja. Siivouskeskukset ovat yleensä siivoustiloja suurempia."",""en"":""[English]Siivouskeskukset ovat suurien rakennusten puhtaanapitoa palvelevia huolto- ja varastotiloja. Siivouskeskukset ovat yleensä siivoustiloja suurempia.""}"
0406,"{""fi"":""Siivouskomero"",""sv"":""[Svenska]Siivouskomero"",""en"":""[English]Siivouskomero""}","{""fi"":""Onko rakennuksessa siivouskomeroa?"",""sv"":""[Svenska]Onko rakennuksessa siivouskomeroa?"",""en"":""[English]Onko rakennuksessa siivouskomeroa?""}",6,True,"{""fi"":""Rakennuksen osan puhtaanapitoa palveleva komeromainen tila."",""sv"":""[Svenska]Rakennuksen osan puhtaanapitoa palveleva komeromainen tila."",""en"":""[English]Rakennuksen osan puhtaanapitoa palveleva komeromainen tila.""}"
0407,"{""fi"":""VSS-tekniikka- ja välinevaraus"",""sv"":""[Svenska]VSS-tekniikka- ja välinevaraus"",""en"":""[English]VSS-tekniikka- ja välinevaraus""}","{""fi"":""Onko rakennuksessa VSS-tekniikkaa- ja välinevarausta"",""sv"":""[Svenska]Onko rakennuksessa VSS-tekniikkaa- ja välinevarausta"",""en"":""[English]Onko rakennuksessa VSS-tekniikkaa- ja välinevarausta""}",,False,"{""fi"":"""",""sv"":"""",""en"":""""}"
